subject,unit,topic,start_page,end_page,source_file,num_mcqs
English,Lesson 8,"Write and critique (self/final draft) after developing the main idea",91,101,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 9,"Summarizing the poem, Writing an essay with the help of mind map",102,113,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 10,"Letter of complaint, Paragraph writing on the contributions of Bilquees Edhi",114,124,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 11,"Story writing using modal verbs in sentences, Book report",125,140,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 12,"Theme of the poem, Summarizing the poem, Analysis of poet's perspective",141,150,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 13,"Summarizing the poem, Analysis of poet's perspective",151,157,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 14,"Verb tense consistency, Mind map, Resume Writing, Cover Letter for Job",158,171,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 15,"Agreement disagreement for the theme, Mind map",172,179,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 16,"Views about the play in own sentences, Clauses of conflicts",180,194,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 17,"Summary of the story",195,205,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 18,"Literary Devices and their identification, Views about the story",206,,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
Physics,Ch# 1,"Physical Quantities and Measurements",7,21,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 2,Vectors,22,31,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 3,Translatory Motion,32,52,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 4,Rotational and Circular Motion,53,76,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 5,Work and Kinetic Energy,77,87,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 6,Fluid Mechanics,88,111,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 7,Physics of Solids,112,126,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 8,Heat and Thermodynamics,127,153,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 9,Waves,154,183,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 10,Electrostatics,184,196,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 11,Electricity,197,218,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 12,Magnetism,219,245,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 13,Relativity,246,256,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Ch# 14,Particle Physics,257,283,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v3-11-physics-book-2025.txt,10
Physics,Unit# 15,Gravitation,7,25,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 16,Statistical Mechanics and Thermodynamics,26,43,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 17,Simple Harmonic Motion,44,69,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 18,Diffraction and Interference,70,85,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 19,Electric Potential and Capacitor,86,105,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 20,Alternating Current,106,123,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 21,Quantum Physics,124,140,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 22,Nuclear Physics,141,169,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 23,Cosmology,170,182,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 24,Earth's Climate,183,200,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 25,Medical Imaging,201,210,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Physics,Unit# 26,"Nature of Science: A Debate",211,220,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\physics\v2-12-physics-book-2025.txt,10
Math,Unit 1,Complex Numbers,5,29,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 2,Matrices and Determinants,30,72,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 3,Vectors,73,115,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 4,Sequences and Series,116,149,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 5,Division of Polynomials,150,161,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 6,Permutation and Combination,162,174,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 7,Mathematical Induction and Binomial Theorem,175,194,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 8,Fundamental Laws of Trigonometry,195,215,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 9,Trigonometric Functions,216,249,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v3-11-maths-book-2025.txt,10
Math,Unit 1,Functions and Graphs,7,42,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v2-12-maths-book-2025.txt,10
Math,Unit 2,"Limit, Continuity and Derivative",43,88,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v2-12-maths-book-2025.txt,10
Math,Unit 3,Integration,89,119,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v2-12-maths-book-2025.txt,10
Math,Unit 4,Differential Equations,120,139,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v2-12-maths-book-2025.txt,10
Math,Unit 5,Kinematics of Motion in a Straight Line,140,159,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v2-12-maths-book-2025.txt,10
Math,Unit 6,Analytical Geometry,160,181,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\math\v2-12-maths-book-2025.txt,10
